attachment_id,expected_local_path,attachment_name,parent_title,download_url
"china_money_2779742_0_033d9917dc3f","data/raw/files/china_money/china_money_2779742_0_033d9917dc3f.docx","附件：人民币利率互换集中清算实时承接合约交易规程.docx","关于全国银行间同业拆借中心、银行间市场清算所股份有限公司联合发布《人民币利率互换集中清算实时承接合约交易规程》的通知","https://www.chinamoney.com.cn/dqs/cm-s-notice-query/fileDownLoad.do?mode=save&contentId=2779742&priority=0"
"china_money_2779743_0_15f3546569c9","data/raw/files/china_money/china_money_2779743_0_15f3546569c9.docx","附件-人民币利率互换集中清算合约移仓交易业务指引.docx","全国银行间同业拆借中心、银行间市场清算所股份有限公司关于联合发布《人民币利率互换集中清算合约移仓交易业务指引》的通知","https://www.chinamoney.com.cn/dqs/cm-s-notice-query/fileDownLoad.do?mode=save&contentId=2779743&priority=0"
"china_money_1000093_0_3da848bc01fe","data/raw/files/china_money/china_money_1000093_0_3da848bc01fe.docx","中国人民银行令〔2025〕第13号.docx","银行间外汇市场管理规定","https://www.chinamoney.com.cn/dqs/cm-s-notice-query/fileDownLoad.do?mode=save&contentId=1000093&priority=0"
"china_money_1003438_0_e885da9b797a","data/raw/files/china_money/china_money_1003438_0_e885da9b797a.pdf","中国人民银行公告〔2016〕第2号（全国银行间债券市场柜台业务管理办法）.pdf","中国人民银行公告〔2016〕第2号","https://www.chinamoney.com.cn/dqs/cm-s-notice-query/fileDownLoad.do?mode=save&contentId=1003438&priority=0"
"china_money_3268108_0_3e062813dc14","data/raw/files/china_money/china_money_3268108_0_3e062813dc14.docx","境外机构投资者境内证券期货投资资金管理规定.docx","中国人民银行 国家外汇管理局公告〔2024〕第7号","https://www.chinamoney.com.cn/dqs/cm-s-notice-query/fileDownLoad.do?mode=save&contentId=3268108&priority=0"
"china_money_1569054_0_d641a3f67330","data/raw/files/china_money/china_money_1569054_0_d641a3f67330.docx","境外机构投资者投资中国债券市场资金管理规定.docx","中国人民银行 国家外汇管理局关于印发《境外机构投资者投资中国债券市场资金管理规定》的通知","https://www.chinamoney.com.cn/dqs/cm-s-notice-query/fileDownLoad.do?mode=save&contentId=1569054&priority=0"
"china_money_1569056_0_7f692850d983","data/raw/files/china_money/china_money_1569056_0_7f692850d983.pdf","《境外机构投资者投资中国债券市场资金管理规定》政策问答（一）.pdf","《境外机构投资者投资中国债券市场资金管理规定》政策问答（一）","https://www.chinamoney.com.cn/dqs/cm-s-notice-query/fileDownLoad.do?mode=save&contentId=1569056&priority=0"
"china_money_2292414_0_e8b80c69ed50","data/raw/files/china_money/china_money_2292414_0_e8b80c69ed50.docx","附件：《银行间债券市场与交易所债券市场互联互通业务暂行办法》.docx","银行间债券市场与交易所债券市场互联互通业务暂行办法","https://www.chinamoney.com.cn/dqs/cm-s-notice-query/fileDownLoad.do?mode=save&contentId=2292414&priority=0"
"china_money_2286903_0_7e9aa2c9aa24","data/raw/files/china_money/china_money_2286903_0_7e9aa2c9aa24.docx","附件：银行间债券市场债券借贷匿名点击业务指引.docx","关于推出银行间债券市场债券借贷匿名点击交易服务的通知","https://www.chinamoney.com.cn/dqs/cm-s-notice-query/fileDownLoad.do?mode=save&contentId=2286903&priority=0"
"china_money_1539356_0_deb2a67b125b","data/raw/files/china_money/china_money_1539356_0_deb2a67b125b.doc","附件：全国银行间同业拆借中心银行间市场到期违约债券转让规则.doc","关于发布《全国银行间同业拆借中心银行间市场到期违约债券转让规则》的通知","https://www.chinamoney.com.cn/dqs/cm-s-notice-query/fileDownLoad.do?mode=save&contentId=1539356&priority=0"
"china_money_1539356_1_bfe545eaecef","data/raw/files/china_money/china_money_1539356_1_bfe545eaecef.docx","全国银行间同业拆借中心银行间市场到期违约债券转让操作指引（2022年8月修订）.docx","关于发布《全国银行间同业拆借中心银行间市场到期违约债券转让规则》的通知","https://www.chinamoney.com.cn/dqs/cm-s-notice-query/fileDownLoad.do?mode=save&contentId=1539356&priority=1"
"china_money_1565533_0_cde0bc395aea","data/raw/files/china_money/china_money_1565533_0_cde0bc395aea.doc","附件：银行间市场利率期权交易规则(试行).doc","关于利率期权业务试运行上线的通知","https://www.chinamoney.com.cn/dqs/cm-s-notice-query/fileDownLoad.do?mode=save&contentId=1565533&priority=0"
"china_money_1470199_0_b3d33a367d67","data/raw/files/china_money/china_money_1470199_0_b3d33a367d67.pdf","全国银行间同业拆借中心国开债做市支持业务操作规程.pdf","关于发布《全国银行间同业拆借中心国开债做市支持业务操作规程》的通知","https://www.chinamoney.com.cn/dqs/cm-s-notice-query/fileDownLoad.do?mode=save&contentId=1470199&priority=0"
"china_money_3092650_0_ccb04626b5fd","data/raw/files/china_money/china_money_3092650_0_ccb04626b5fd.pdf","中国外汇交易中心产品指南（外汇市场）V4.3.pdf","中国外汇交易中心产品指南（外汇市场）V4.3","https://www.chinamoney.com.cn/dqs/cm-s-notice-query/fileDownLoad.do?mode=save&contentId=3092650&priority=0"
"china_money_2779100_0_7a76d40d57eb","data/raw/files/china_money/china_money_2779100_0_7a76d40d57eb.pdf","中国外汇交易中心产品指引（外汇CMDS、CMDS Pro及黄金CMDS）V2.0.pdf","中国外汇交易中心产品指引（外汇CMDS、CMDS Pro及黄金CMDS）V2.0","https://www.chinamoney.com.cn/dqs/cm-s-notice-query/fileDownLoad.do?mode=save&contentId=2779100&priority=0"
"china_money_2779099_0_7c5306cdf575","data/raw/files/china_money/china_money_2779099_0_7c5306cdf575.docx","银行间黄金询价业务产品指引(修订版).docx","银行间黄金询价业务产品指引(修订版)","https://www.chinamoney.com.cn/dqs/cm-s-notice-query/fileDownLoad.do?mode=save&contentId=2779099&priority=0"
"china_money_3033387_0_73563a8019b1","data/raw/files/china_money/china_money_3033387_0_73563a8019b1.pdf","银行间外汇市场标准化人民币外汇远期掉期业务指南.pdf","银行间外汇市场标准化人民币外汇远期掉期业务指南","https://www.chinamoney.com.cn/dqs/cm-s-notice-query/fileDownLoad.do?mode=save&contentId=3033387&priority=0"
"china_money_2779112_0_a2a92cef8aa4","data/raw/files/china_money/china_money_2779112_0_a2a92cef8aa4.pdf","银行间人民币外汇市场交易规则.pdf","关于发布《银行间人民币外汇市场交易规则》的通知","https://www.chinamoney.com.cn/dqs/cm-s-notice-query/fileDownLoad.do?mode=save&contentId=2779112&priority=0"
"china_money_2779105_0_229487318d0f","data/raw/files/china_money/china_money_2779105_0_229487318d0f.docx","银行间外汇市场即期撮合业务指引v1.1.docx","银行间外汇市场即期撮合业务指引v1.1","https://www.chinamoney.com.cn/dqs/cm-s-notice-query/fileDownLoad.do?mode=save&contentId=2779105&priority=0"
"china_money_2779102_0_32fc1f6d55d7","data/raw/files/china_money/china_money_2779102_0_32fc1f6d55d7.docx","银行间外汇市场主经纪业务指引（2023年4月修订）.docx","关于发布《银行间外汇市场主经纪业务指引》修订版的公告","https://www.chinamoney.com.cn/dqs/cm-s-notice-query/fileDownLoad.do?mode=save&contentId=2779102&priority=0"
"china_money_2779118_0_6194e6891271","data/raw/files/china_money/china_money_2779118_0_6194e6891271.docx","银行间外汇市场主经纪业务指引.docx","关于发布《银行间外汇市场主经纪业务指引》修订版的公告","https://www.chinamoney.com.cn/dqs/cm-s-notice-query/fileDownLoad.do?mode=save&contentId=2779118&priority=0"
"china_money_2779124_0_88f29f4a44a9","data/raw/files/china_money/china_money_2779124_0_88f29f4a44a9.doc","附件：以境内债券为抵押品的外币回购交易业务指引.doc","关于发布《以境内债券为抵押品的外币回购交易业务指引》的通知","https://www.chinamoney.com.cn/dqs/cm-s-notice-query/fileDownLoad.do?mode=save&contentId=2779124&priority=0"
"china_money_3274981_0_f5a6f1b185b1","data/raw/files/china_money/china_money_3274981_0_f5a6f1b185b1.doc","附件：银行间外汇市场尝试做市机构指引（2026年修订版）.doc","关于发布《银行间外汇市场尝试做市机构指引》的通知","https://www.chinamoney.com.cn/dqs/cm-s-notice-query/fileDownLoad.do?mode=save&contentId=3274981&priority=0"
"china_money_3121058_0_5ec528a5f434","data/raw/files/china_money/china_money_3121058_0_5ec528a5f434.doc","银行间外汇市场交易应急服务规则.doc","关于发布《银行间外汇市场交易应急服务规则》的通知","https://www.chinamoney.com.cn/dqs/cm-s-notice-query/fileDownLoad.do?mode=save&contentId=3121058&priority=0"
"china_money_3309686_0_e66d73f0cd6e","data/raw/files/china_money/china_money_3309686_0_e66d73f0cd6e.docx","全国银行间市场债券交易规则（2026年3月修订）.docx","关于修订并发布《全国银行间市场债券交易规则》的通知","https://www.chinamoney.com.cn/dqs/cm-s-notice-query/fileDownLoad.do?mode=save&contentId=3309686&priority=0"
"china_money_2779346_0_28de10a0a4c7","data/raw/files/china_money/china_money_2779346_0_28de10a0a4c7.docx","全国银行间同业拆借中心债券交易流通规则.docx","关于发布《全国银行间同业拆借中心债券交易流通规则》的通知","https://www.chinamoney.com.cn/dqs/cm-s-notice-query/fileDownLoad.do?mode=save&contentId=2779346&priority=0"
"china_money_2779347_0_a38bf15c25ec","data/raw/files/china_money/china_money_2779347_0_a38bf15c25ec.doc","全国银行间同业拆借中心债券交易流通操作指引（2022年11月修订）.doc","关于发布《全国银行间同业拆借中心债券交易流通操作指引》的通知","https://www.chinamoney.com.cn/dqs/cm-s-notice-query/fileDownLoad.do?mode=save&contentId=2779347&priority=0"
"china_money_2779350_0_4c218da42d9d","data/raw/files/china_money/china_money_2779350_0_4c218da42d9d.docx","附件1：全国银行间同业拆借中心国际金融资产交易平台债券业务开户联网操作指引.docx","全国银行间同业拆借中心关于为中国(上海)自由贸易试验区提供债券交易流通服务的通知","https://www.chinamoney.com.cn/dqs/cm-s-notice-query/fileDownLoad.do?mode=save&contentId=2779350&priority=0"
"china_money_2779350_1_d1c13ae7b01c","data/raw/files/china_money/china_money_2779350_1_d1c13ae7b01c.doc","附件2：全国银行间同业拆借中心国际金融资产交易平台债券交易操作指南.doc","全国银行间同业拆借中心关于为中国(上海)自由贸易试验区提供债券交易流通服务的通知","https://www.chinamoney.com.cn/dqs/cm-s-notice-query/fileDownLoad.do?mode=save&contentId=2779350&priority=1"
"china_money_2779355_0_1d8ca3be88d4","data/raw/files/china_money/china_money_2779355_0_1d8ca3be88d4.pdf","附件：中国债券市场投资手册（2022年）.pdf","【资料】中国债券市场投资手册（2022年）中英文版正式发布","https://www.chinamoney.com.cn/dqs/cm-s-notice-query/fileDownLoad.do?mode=save&contentId=2779355&priority=0"
"china_money_3260709_0_f07a5526dc02","data/raw/files/china_money/china_money_3260709_0_f07a5526dc02.docx","银行间债券市场回购债券标准折算率细则.docx","关于修订并发布《银行间债券市场回购债券标准折算率细则》的通知","https://www.chinamoney.com.cn/dqs/cm-s-notice-query/fileDownLoad.do?mode=save&contentId=3260709&priority=0"
"china_money_3209804_0_f5b70b36282d","data/raw/files/china_money/china_money_3209804_0_f5b70b36282d.doc","全国银行间同业拆借中心买断式回购交易指引.doc","关于修订并发布《全国银行间同业拆借中心买断式回购交易指引》的通知","https://www.chinamoney.com.cn/dqs/cm-s-notice-query/fileDownLoad.do?mode=save&contentId=3209804&priority=0"
"china_money_3204353_0_964077961a82","data/raw/files/china_money/china_money_3204353_0_964077961a82.docx","全国银行间同业拆借中心境外机构投资者银行间债券市场债券回购交易细则 .docx","关于发布《全国银行间同业拆借中心境外机构投资者银行间债券市场债券回购交易细则》的通知","https://www.chinamoney.com.cn/dqs/cm-s-notice-query/fileDownLoad.do?mode=save&contentId=3204353&priority=0"
"china_money_3204353_1_b6b1900974ba","data/raw/files/china_money/china_money_3204353_1_b6b1900974ba.doc","附件1：银行间债券市场“债券通”北向通回购做市商（首批） .doc","关于发布《全国银行间同业拆借中心境外机构投资者银行间债券市场债券回购交易细则》的通知","https://www.chinamoney.com.cn/dqs/cm-s-notice-query/fileDownLoad.do?mode=save&contentId=3204353&priority=1"
"china_money_2843220_0_1c6500528695","data/raw/files/china_money/china_money_2843220_0_1c6500528695.docx","附件：银行间债券市场通用回购交易清算业务实施细则.docx","关于开展银行间债券市场通用回购交易清算业务的通知","https://www.chinamoney.com.cn/dqs/cm-s-notice-query/fileDownLoad.do?mode=save&contentId=2843220&priority=0"
"china_money_2844090_0_eb44efb52d97","data/raw/files/china_money/china_money_2844090_0_eb44efb52d97.docx","附件：银行间债券市场通用回购业务操作规程.docx","关于发布《银行间债券市场通用回购业务操作规程》的通知","https://www.chinamoney.com.cn/dqs/cm-s-notice-query/fileDownLoad.do?mode=save&contentId=2844090&priority=0"
"china_money_2779205_0_26abdcdbad72","data/raw/files/china_money/china_money_2779205_0_26abdcdbad72.docx","全国银行间同业拆借中心回购违约处置实施细则(试行).docx","全国银行间同业拆借中心关于发布《全国银行间同业拆借中心回购违约处置实施细则(试行)》的通知","https://www.chinamoney.com.cn/dqs/cm-s-notice-query/fileDownLoad.do?mode=save&contentId=2779205&priority=0"
"china_money_2779205_1_5a9938df498f","data/raw/files/china_money/china_money_2779205_1_5a9938df498f.docx","全国银行间同业拆借中心回购违约处置申请表.docx","全国银行间同业拆借中心关于发布《全国银行间同业拆借中心回购违约处置实施细则(试行)》的通知","https://www.chinamoney.com.cn/dqs/cm-s-notice-query/fileDownLoad.do?mode=save&contentId=2779205&priority=1"
"china_money_2779210_0_cf00c80168bb","data/raw/files/china_money/china_money_2779210_0_cf00c80168bb.docx","银行间债券市场质押式回购匿名点击业务交易细则.docx","关于修订并印发《银行间债券市场质押式回购匿名点击业务交易细则》的通知","https://www.chinamoney.com.cn/dqs/cm-s-notice-query/fileDownLoad.do?mode=save&contentId=2779210&priority=0"
"china_money_2779212_0_9002eb268f8d","data/raw/files/china_money/china_money_2779212_0_9002eb268f8d.docx","全国银行间同业拆借中心质押式回购请求报价业务指引.docx","关于发布《全国银行间同业拆借中心质押式回购请求报价业务指引》的通知","https://www.chinamoney.com.cn/dqs/cm-s-notice-query/fileDownLoad.do?mode=save&contentId=2779212&priority=0"
"china_money_2779213_0_9a11b85799f3","data/raw/files/china_money/china_money_2779213_0_9a11b85799f3.docx","质押式回购匿名点击业务（X-Repo）操作指南.docx","质押式回购匿名点击业务（X-Repo）操作指南","https://www.chinamoney.com.cn/dqs/cm-s-notice-query/fileDownLoad.do?mode=save&contentId=2779213&priority=0"
"china_money_2779216_0_29e50e4c4952","data/raw/files/china_money/china_money_2779216_0_29e50e4c4952.docx","质押式回购请求报价业务操作指南.docx","质押式回购请求报价业务操作指南","https://www.chinamoney.com.cn/dqs/cm-s-notice-query/fileDownLoad.do?mode=save&contentId=2779216&priority=0"
